xPosition;yPosition;width;height
30;110;10;10
55;110;10;10
80;110;10;10
105;110;10;10
130;110;10;10
155;110;10;10
180;110;10;10
205;110;10;10
230;110;10;10
255;110;10;10
280;110;10;10
305;110;10;10
380;110;10;10
405;110;10;10
430;110;10;10
455;110;10;10
480;110;10;10
505;110;10;10
530;110;10;10
555;110;10;10
580;110;10;10
605;110;10;10
630;110;10;10
655;110;10;10
155;135;10;10
305;135;10;10
380;135;10;10
530;135;10;10
30;148;10;10
155;160;10;10
305;160;10;10
380;160;10;10
530;160;10;10
655;148;10;10
30;185;10;10
55;185;10;10
80;185;10;10
105;185;10;10
130;185;10;10
155;185;10;10
180;185;10;10
205;185;10;10
230;185;10;10
255;185;10;10
280;185;10;10
305;185;10;10
330;185;10;10
355;185;10;10
380;185;10;10
405;185;10;10
430;185;10;10
455;185;10;10
480;185;10;10
505;185;10;10
530;185;10;10
555;185;10;10
580;185;10;10
605;185;10;10
630;185;10;10
655;185;10;10
30;210;10;10
155;210;10;10
230;210;10;10
455;210;10;10
530;210;10;10
655;210;10;10
30;235;10;10
155;235;10;10
230;235;10;10
455;235;10;10
530;235;10;10
655;235;10;10
30;260;10;10
55;260;10;10
80;260;10;10
105;260;10;10
130;260;10;10
155;260;10;10
230;260;10;10
255;260;10;10
280;260;10;10
305;260;10;10
380;260;10;10
405;260;10;10
430;260;10;10
455;260;10;10
530;260;10;10
555;260;10;10
580;260;10;10
605;260;10;10
630;260;10;10
655;260;10;10
155;285;10;10
155;310;10;10
155;335;10;10
155;360;10;10
155;385;10;10
155;410;10;10
155;435;10;10
155;460;10;10
155;485;10;10
155;510;10;10
155;510;10;10
155;535;10;10
530;285;10;10
530;310;10;10
530;335;10;10
530;360;10;10
530;385;10;10
530;410;10;10
530;435;10;10
530;460;10;10
530;485;10;10
530;510;10;10
530;510;10;10
530;535;10;10
30;560;10;10
55;560;10;10
80;560;10;10
105;560;10;10
130;560;10;10
155;560;10;10
180;560;10;10
205;560;10;10
230;560;10;10
255;560;10;10
280;560;10;10
305;560;10;10
380;560;10;10
405;560;10;10
430;560;10;10
455;560;10;10
480;560;10;10
505;560;10;10
530;560;10;10
555;560;10;10
580;560;10;10
605;560;10;10
630;560;10;10
655;560;10;10
30;585;10;10
155;585;10;10
305;585;10;10
380;585;10;10
530;585;10;10
655;585;10;10
30;610;10;10
155;610;10;10
305;610;10;10
380;610;10;10
530;610;10;10
655;610;10;10
30;635;10;10
55;635;10;10
80;635;10;10
155;635;10;10
180;635;10;10
205;635;10;10
230;635;10;10
255;635;10;10
280;635;10;10
305;635;10;10
330;635;10;10
355;635;10;10
380;635;10;10
405;635;10;10
430;635;10;10
455;635;10;10
480;635;10;10
505;635;10;10
530;635;10;10
605;635;10;10
630;635;10;10
655;635;10;10
80;660;10;10
155;660;10;10
230;660;10;10
455;660;10;10
530;660;10;10
605;660;10;10
80;685;10;10
155;685;10;10
230;685;10;10
455;685;10;10
530;685;10;10
605;685;10;10
30;710;10;10
55;710;10;10
80;710;10;10
105;710;10;10
130;710;10;10
155;710;10;10
230;710;10;10
255;710;10;10
280;710;10;10
305;710;10;10
380;710;10;10
405;710;10;10
430;710;10;10
455;710;10;10
530;710;10;10
555;710;10;10
580;710;10;10
605;710;10;10
630;710;10;10
655;710;10;10
30;735;10;10
305;735;10;10
380;735;10;10
655;735;10;10
30;760;10;10
305;760;10;10
380;760;10;10
655;760;10;10
30;785;10;10
55;785;10;10
80;785;10;10
105;785;10;10
130;785;10;10
155;785;10;10
180;785;10;10
205;785;10;10
230;785;10;10
255;785;10;10
280;785;10;10
305;785;10;10
330;785;10;10
355;785;10;10
380;785;10;10
405;785;10;10
430;785;10;10
455;785;10;10
480;785;10;10
505;785;10;10
530;785;10;10
555;785;10;10
580;785;10;10
605;785;10;10
630;785;10;10
655;785;10;10
20;138;30;30
645;138;30;30
645;625;30;30
20;625;30;30
